run,seed,score
1,42,0.72992272
2,43,0.72104787
3,44,0.72011821
4,45,0.73070394
5,46,0.71515249
6,47,0.72364131
7,48,0.72894353
8,49,0.73031509
9,50,0.72412925
10,51,0.72507228
