run,seed,fitness
1,42,0.98070917
2,43,0.98431583
3,44,0.9805775
4,45,0.98483667
5,46,0.98026167
6,47,0.98525917
7,48,0.98437417
8,49,0.98122417
9,50,0.99026833
10,51,0.98525667
